Rank,City ID,City,Country,Cost Of Living Index,Purchasing Power,Data Science Average Salary,Data Scientist Low,Data Scientist High,Average Pay vs National Avg,Data Analyst Average Salary,Data Analyst Low,Data Analysts High,Average Pay vs National Avg,Data Engineer Average Salary,Data Engineer Low,Data Engineer High,Average Pay vs National Avg,Data Architect Average Salary,Data Architect Low,Data Architect High,Average Pay vs National Avg
1,3455,"New York, NY",United States,100,100," $95,342.00 "," $73,000.00 "," $125,000.00 ",0%," $56,071.00 "," $39,000.00 "," $77,000.00 ",7%," $93,392.00 "," $69,000.00 "," $132,000.00 ",7%," $88,150.00 "," $66,000.00 "," $114,000.00 ",6%
2,3483,"San Francisco, CA",United States,91.46633975,136.0448229," $119,907.00 "," $93,000.00 "," $154,000.00 ",26%," $70,015.00 "," $49,000.00 "," $95,000.00 ",33%," $107,660.00 "," $81,000.00 "," $149,000.00 ",24%," $101,802.00 "," $77,000.00 "," $130,000.00 ",23%
3,3389,"Anchorage, AK",United States,91.29435175,118.4815421," $92,896.00 "," $72,000.00 "," $121,000.00 ",-3%," $55,024.00 "," $38,000.00 "," $75,000.00 ",5%," $84,834.00 "," $63,000.00 "," $121,000.00 ",-3%," $86,783.00 "," $66,000.00 "," $112,000.00 ",5%
4,3427,"Honolulu, HI",United States,89.63370466,88.32833031," $87,004.00 "," $67,000.00 "," $114,000.00 ",-9%," $52,013.00 "," $36,000.00 "," $71,000.00 ",-1%," $79,596.00 "," $59,000.00 "," $114,000.00 ",-9%," $81,169.00 "," $61,000.00 "," $105,000.00 ",-2%
5,9925,"Brooklyn, NY",United States,88.75858346,92.98302626," $95,342.00 "," $73,000.00 "," $125,000.00 ",0%," $56,071.00 "," $39,000.00 "," $77,000.00 ",7%," $93,392.00 "," $69,000.00 "," $132,000.00 ",7%," $88,150.00 "," $66,000.00 "," $114,000.00 ",6%
6,3497,"Washington, DC",United States,87.67857046,130.2958523," $87,176.00 "," $67,000.00 "," $114,000.00 ",-9%," $57,579.00 "," $40,000.00 "," $79,000.00 ",10%," $92,363.00 "," $69,000.00 "," $132,000.00 ",6%," $91,735.00 "," $70,000.00 "," $118,000.00 ",11%
7,3459,"Oakland, CA",United States,86.4417537,113.6454798," $119,907.00 "," $93,000.00 "," $154,000.00 ",26%," $70,015.00 "," $49,000.00 "," $95,000.00 ",33%," $107,660.00 "," $81,000.00 "," $149,000.00 ",24%," $101,802.00 "," $77,000.00 "," $130,000.00 ",23%
8,3487,"Seattle, WA",United States,85.6308418,133.4830248," $106,358.00 "," $83,000.00 "," $137,000.00 ",11%," $55,797.00 "," $39,000.00 "," $76,000.00 ",6%," $87,612.00 "," $66,000.00 "," $124,000.00 ",1%," $88,133.00 "," $67,000.00 "," $114,000.00 ",6%
9,3400,"Boston, MA",United States,82.79950698,112.4773227," $93,032.00 "," $71,000.00 "," $121,000.00 ",-3%," $55,451.00 "," $39,000.00 "," $76,000.00 ",5%," $82,256.00 "," $61,000.00 "," $118,000.00 ",-5%," $86,720.00 "," $66,000.00 "," $112,000.00 ",5%
10,9978,"Bellevue, WA",United States,82.12301238,163.3291233," $106,358.00 "," $83,000.00 "," $137,000.00 ",11%," $55,797.00 "," $39,000.00 "," $76,000.00 ",6%," $87,612.00 "," $66,000.00 "," $124,000.00 ",1%," $88,133.00 "," $67,000.00 "," $114,000.00 ",6%
