Rank,City ID,City,Country,Cost Of Living Index,Purchasing Power
1,3455,"New York, NY",United States,100.0,100.0
2,3483,"San Francisco, CA",United States,91.28089296097221,136.32204263595057
3,3389,"Anchorage, AK",United States,91.13559895898416,118.8004510346737
4,3427,"Honolulu, HI",United States,89.47783958323066,88.5660778255424
5,9925,"Brooklyn, NY",United States,88.60078016430867,93.2352911113721
6,3497,"Washington, DC",United States,87.52822423288991,130.5933965941182
7,3459,"Oakland, CA",United States,86.29143914669669,113.95137176783061
8,3487,"Seattle, WA",United States,85.55679989490237,133.84273248251398
9,3400,"Boston, MA",United States,82.66632345148585,112.7402812570988
10,9978,"Bellevue, WA",United States,81.98020773525124,163.76874545283945
11,3405,"Chicago, IL",United States,79.98653892122717,113.87306650681228
12,10048,"Sarasota, FL",United States,79.06606389305443,82.05203952228864
13,3465,"Philadelphia, PA",United States,78.6446069301896,100.53985709031343
14,3484,"San Jose, CA",United States,78.44643380919615,143.91904643420256
15,3469,"Portland, OR",United States,78.43214060287885,113.16261642832333
16,3454,"New Orleans, LA",United States,78.26615827124412,90.06888547335979
17,3475,"Sacramento, CA",United States,76.81288172344625,115.75706798154934
18,3450,"Minneapolis, MN",United States,76.5165498101329,127.9194943438188
19,3442,"Los Angeles, CA",United States,76.35977368846204,114.16635184713739
20,7700,"Albany, NY",United States,75.24868617851914,105.40826671013318
21,3435,"Jacksonville, FL",United States,74.38721144487475,121.2708359568272
22,3396,"Baltimore, MD",United States,74.10827914282731,125.62746776200689
23,3482,"San Diego, CA",United States,74.0327378823395,130.5904295662837
24,3448,"Miami, FL",United States,73.99279655993513,100.5566792977995
25,3402,"Buffalo, NY",United States,73.7373652739549,107.37485337056457
26,3391,"Atlanta, GA",United States,73.68330233036465,140.92793836869396
27,3471,"Reno, NV",United States,73.66467252019162,116.4562660280102
28,3467,"Pittsburgh, PA",United States,73.42393171238997,123.46237893191221
29,3412,"Denver, CO",United States,73.12337115545598,130.73102953139647
30,8029,"Nashville, TN",United States,72.93493971914103,123.12168386476732
31,3403,"Charlotte, NC",United States,72.22253169607444,144.7343074606458
32,3494,"Tucson, AZ",United States,71.8214096434452,105.66432109791654
33,7998,"Olympia, WA",United States,71.70683950736687,129.58364739061798
34,3408,"Colorado Springs, CO",United States,70.79863844429504,112.95538540461492
35,3491,"Tacoma, WA",United States,70.70507132761328,114.27462089376412
36,3476,"Saint Louis, MO",United States,70.60759707151492,126.71996973158932
37,3409,"Columbus, OH",United States,70.32849818520995,142.6034562686126
38,3470,"Raleigh, NC",United States,69.65260245206657,145.71637823454589
39,3437,"Kansas City, MO",United States,69.00255368695343,135.04710138423636
40,3411,"Dallas, TX",United States,67.85998595396886,155.77548925670393
41,3393,"Austin, TX",United States,67.63841206081057,146.19183614268448
42,3438,"Las Vegas, NV",United States,67.29348845630055,128.27708338000753
43,3466,"Phoenix, AZ",United States,67.24700536873802,127.6492464774853
44,3472,"Richmond, VA",United States,67.03611407738103,112.69200986098653
45,3492,"Tampa, FL",United States,66.85074329271352,126.67641567916061
46,3443,"Louisville, KY",United States,66.52451633840161,117.18557775175371
47,3431,"Indianapolis, IN",United States,66.17806383125576,110.35855689717306
48,3480,"San Antonio, TX",United States,65.61420855726901,116.75982036303294
49,3462,"Orlando, FL",United States,65.53862707311386,102.39237154952949
50,3428,"Houston, TX",United States,64.96595372927246,141.04074506312944
51,3479,"Salt Lake City, UT",United States,64.60201173095406,129.7506857378083
52,3445,"Madison, WI",United States,64.50938596980978,124.69571159428608
53,3495,"Tulsa, OK",United States,64.11796154895654,118.33046195569652
54,3414,"Detroit, MI",United States,63.69229253722618,78.81927440481701
55,3406,"Cincinnati, OH",United States,61.49108011347756,132.2169450123618
56,3399,"Boise, ID",United States,60.55488073098893,99.35142817979306
57,3440,"Little Rock, AR",United States,59.61357279672072,124.9186079291969
58,3416,"El Paso, TX",United States,52.249104246887754,128.06043853996138
