,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
0,Data Scientist,AETNA,Hartford,CT,US,en,"Hartford, CT",Aetna,"Sat, 11 Jan 2020 15:20:59 GMT","Minimum one year of <b>data</b> <b>science</b> or programming analysis experience. Master’s degree in Statistics, Business Analytics, <b>Data</b> <b>Science</b> or closely related.",http://www.indeed.com/viewjob?jk=43194fbf78499119&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",43194fbf78499119,False,False,False,"Hartford, CT 06156",1 hour ago,
1,Data Scientist,Microsoft,Redmond,WA,US,en,"Redmond, WA",Microsoft,"Sat, 11 Jan 2020 13:14:30 GMT","4+ years of <b>data</b> <b>science</b>, analytics and/or business intelligence experience. Advanced working knowledge of EDA, <b>data</b> wrangling and mining using SQL, ETL, Data…",http://www.indeed.com/viewjob?jk=f737890c10ca957a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",f737890c10ca957a,False,False,False,"Redmond, WA",3 hours ago,
2,Senior Data Scientist,true[x],Los Angeles,CA,US,en,"Los Angeles, CA",Disney,"Sat, 11 Jan 2020 14:31:08 GMT",The Senior <b>Data</b> <b>Scientist</b> will be a key member of true[X]’s <b>Data</b> <b>Science</b> team. There is an endless supply of <b>Data</b> <b>Science</b> work to be done.,http://www.indeed.com/viewjob?jk=6382ca0dce4fb82f&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",6382ca0dce4fb82f,False,False,False,"Los Angeles, CA 90049",2 hours ago,
3,Data Scientist,Social Science Research Solutions (SSRS),Glen Mills,PA,US,en,"Glen Mills, PA",Social Science Research Solutions (SSRS),"Sat, 11 Jan 2020 14:22:56 GMT","Develop <b>data</b> visualizations to capture trends and summarize <b>data</b>. SSRS, a leading data-driven survey research and <b>data</b> capture firm, is seeking an experienced…",http://www.indeed.com/viewjob?jk=449135dd3e0f8cdd&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",449135dd3e0f8cdd,False,False,False,"Glen Mills, PA",2 hours ago,
4,Data & Customer Insights Analyst,Forum Communications,Fargo,ND,US,en,"Fargo, ND",Forum Communications,"Sat, 11 Jan 2020 10:37:30 GMT",Continuously analyze <b>data</b> throughout the customer journey and make recommendations for improvement based on <b>data</b>.,http://www.indeed.com/viewjob?jk=c7fc0f64a44865d7&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",c7fc0f64a44865d7,False,False,False,"Fargo, ND 58102",5 hours ago,
5,Data Science: Senior Associate,TheMathCompany,Raleigh,TX,US,en,"Raleigh, TX",TheMathCompany,"Sat, 11 Jan 2020 12:44:10 GMT","Master’s in Business Analytics, <b>Data</b> <b>Sciences</b> or equivalent. Working knowledge of a Big <b>Data</b> ecosystem, such as, Hadoop M/R, Pig and Hive.",http://www.indeed.com/viewjob?jk=dc917167d647985a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",dc917167d647985a,False,False,False,"Raleigh, TX",3 hours ago,
6,Data Architect,Regional Finance,Greer,SC,US,en,"Greer, SC",Regional Finance,"Sat, 11 Jan 2020 10:58:25 GMT","Mastery-level <b>Data</b> Architecture skills - a deep understanding of <b>data</b> architecture patterns <b>data</b> warehouse, integration, APIs, <b>data</b> lake, and cloud technology…",http://www.indeed.com/viewjob?jk=300e3b1bcf67f63e&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",300e3b1bcf67f63e,False,False,False,"Greer, SC 29651",5 hours ago,
7,"Senior Director, Personalization Analytics & Data Science",CVS Health,Woonsocket,RI,US,en,"Woonsocket, RI",CVS Health,"Sat, 11 Jan 2020 14:11:48 GMT","As Senior Director of Personalization Analytics & <b>Data</b> <b>Science</b> you will lead a diverse team of high performing solution strategists, <b>data</b> <b>scientists</b> and…",http://www.indeed.com/viewjob?jk=773a8cd9eec0ef00&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",773a8cd9eec0ef00,False,False,False,"Woonsocket, RI",2 hours ago,
8,Lab Assistant/Data Entry,LabCorp,Dublin,OH,US,en,"Dublin, OH",LabCorp,"Sat, 11 Jan 2020 14:11:16 GMT",Strong <b>data</b> entry and organizational skills. Applicants will be required to pass a <b>data</b> entry test. <b>Data</b> entry of specimen information in a measured production…,http://www.indeed.com/viewjob?jk=e61b492dee288e1d&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",e61b492dee288e1d,False,False,False,"Dublin, OH 43016",2 hours ago,
9,Data Product Owner – Data Management,Nestle USA,Arlington,VA,US,en,"Arlington, VA",Nestle,"Sat, 11 Jan 2020 12:31:03 GMT","Minimum 8 years of experience in demonstrating <b>data</b> mapping, <b>data</b> usage and <b>data</b> acquisition to deliver large <b>data</b> integration/warehouse projects, preferably in…",http://www.indeed.com/viewjob?jk=0d2643ab731fe198&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suK0o1pNC0mMZ11B9oIGGMHZf3W79kkmJfAXSRehMVSiQ&indpubnum=3622741264518966&atk=1duandna3hauf801,"indeed_clk(this,'2707');",0d2643ab731fe198,False,False,False,"Arlington, VA",4 hours ago,
