,Indeed Snippet
0,"Minimum one year of <b>data</b> <b>science</b> or programming analysis experience. Master’s degree in Statistics, Business Analytics, <b>Data</b> <b>Science</b> or closely related."
1,"4+ years of <b>data</b> <b>science</b>, analytics and/or business intelligence experience. Advanced working knowledge of EDA, <b>data</b> wrangling and mining using SQL, ETL, Data…"
2,The Senior <b>Data</b> <b>Scientist</b> will be a key member of true[X]’s <b>Data</b> <b>Science</b> team. There is an endless supply of <b>Data</b> <b>Science</b> work to be done.
3,"Develop <b>data</b> visualizations to capture trends and summarize <b>data</b>. SSRS, a leading data-driven survey research and <b>data</b> capture firm, is seeking an experienced…"
4,Continuously analyze <b>data</b> throughout the customer journey and make recommendations for improvement based on <b>data</b>.
5,"Master’s in Business Analytics, <b>Data</b> <b>Sciences</b> or equivalent. Working knowledge of a Big <b>Data</b> ecosystem, such as, Hadoop M/R, Pig and Hive."
6,"Mastery-level <b>Data</b> Architecture skills - a deep understanding of <b>data</b> architecture patterns <b>data</b> warehouse, integration, APIs, <b>data</b> lake, and cloud technology…"
7,"As Senior Director of Personalization Analytics & <b>Data</b> <b>Science</b> you will lead a diverse team of high performing solution strategists, <b>data</b> <b>scientists</b> and…"
8,Strong <b>data</b> entry and organizational skills. Applicants will be required to pass a <b>data</b> entry test. <b>Data</b> entry of specimen information in a measured production…
9,"Minimum 8 years of experience in demonstrating <b>data</b> mapping, <b>data</b> usage and <b>data</b> acquisition to deliver large <b>data</b> integration/warehouse projects, preferably in…"
10,"3+ years of experience in <b>data</b> <b>science</b> and <b>data</b> analysis. Develop analytical tools, and provide capabilities to the Global Product Safety team for early issue…"
11,"The VP, <b>Data</b> Management serves as global head of <b>Data</b> Management and inclusive of <b>data</b> management, <b>data</b> review, database programming, and medical coding…"
12,"Recognized expert in Analytics, Business Intelligence or <b>Data</b> <b>Science</b>, demonstrated via conference proceedings, news coverage or other awards."
13,Utilize <b>data</b> profiling to uncover <b>data</b> issues and perform rules based assessments of <b>data</b>. Strong experience with end to end <b>data</b> testing &/or <b>data</b> analysis as…
14,The <b>Data</b> <b>Scientist</b> serves as Viejas expert on analyzing <b>data</b> and developing <b>data</b> driven insights for all operating verticals within the enterprise.
15,Strong computer <b>science</b> fundamental (data structures and algorithms). Passion for solving high impact problems with <b>data</b> driven tools.
16,"Experience in <b>data</b> analyses, especially using SQL and with <b>data</b> <b>science</b> libraries in Python or R. We are looking for a senior <b>data</b> <b>scientist</b> with experience in…"
17,CGI Federal's Emerging Technologies Practice (ETP) seeks a highly-motivated <b>Data</b> <b>Scientist</b> to join their <b>Data</b> team. Your future duties and responsibilities:
18,"In <b>Data</b> <b>Science</b>, Computer <b>Science</b>, Electrical and Computer Engineering, Mathematics or equivalent degree. <b>Data</b> <b>Science</b>, Security, Software Development and Cloud…"
19,<b>Data</b> <b>scientist</b> with 3 years industry experience. Master degree in Business Analytics/Information Technology/Computer Science/Data <b>Science</b> or related.
20,Interpret <b>data</b> and analyze results. We are looking for an exceptional <b>Data</b> <b>Scientist</b> to work with our cross-functional team and join our world-class community…
21,"This position requires 3+ years of <b>data</b> experience with a BS in Statistics, Mathematics, Computer <b>Science</b> or a similar field. How we take care of YOU:"
