,City Name,Country Name,Job Code,Job title,Location,Max Salary,Min Salary,OrganizationName,Qualification Summary,State Name
0,"Ogden, Utah",United States,0332,"COMPUTER OPERATOR ""Seasonal 6-Month Register*",Multiple Locations,28.72,14.54,Internal Revenue Service,"You must meet the following requirements by the closing date of this announcement:GS-04 LEVEL: You must have 1 year of general experience at a level of difficulty and responsibility equivalent to the GS-03 grade level in the Federal service. General experience for this position includes: Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. ORYou may substitute education for general experience as follows: Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-05 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-04 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive. ORYou may substitute education for specialized experience as follows: successfully completed at least 4 years of education above the high school level (120 semester hours or 180 quarter hours), have a Bachelors or higher degree, or have 2880 hours of formal classroom training in an accredited business, secretarial or technical school.ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-06 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.GS-07 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-06 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.- The experience may have been gained in either the public or privatesector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",Utah
1,"Ogden, Utah",United States,0332,"COMPUTER OPERATOR ""Seasonal 6-Month Register*",Multiple Locations,28.72,14.54,Internal Revenue Service,"You must meet the following requirements by the closing date of this announcement:GS-04 LEVEL: You must have 1 year of general experience at a level of difficulty and responsibility equivalent to the GS-03 grade level in the Federal service. General experience for this position includes: Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. ORYou may substitute education for general experience as follows: Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-05 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-04 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive. ORYou may substitute education for specialized experience as follows: successfully completed at least 4 years of education above the high school level (120 semester hours or 180 quarter hours), have a Bachelors or higher degree, or have 2880 hours of formal classroom training in an accredited business, secretarial or technical school.ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-06 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.GS-07 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-06 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.- The experience may have been gained in either the public or privatesector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",Utah
2,"Ogden, Utah",United States,0332,"COMPUTER OPERATOR ""Seasonal 6-Month Register*",Multiple Locations,28.72,14.54,Internal Revenue Service,"You must meet the following requirements by the closing date of this announcement:GS-04 LEVEL: You must have 1 year of general experience at a level of difficulty and responsibility equivalent to the GS-03 grade level in the Federal service. General experience for this position includes: Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. ORYou may substitute education for general experience as follows: Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-05 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-04 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive. ORYou may substitute education for specialized experience as follows: successfully completed at least 4 years of education above the high school level (120 semester hours or 180 quarter hours), have a Bachelors or higher degree, or have 2880 hours of formal classroom training in an accredited business, secretarial or technical school.ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-06 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.GS-07 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-06 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.- The experience may have been gained in either the public or privatesector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",Utah
3,"Ogden, Utah",United States,0332,"COMPUTER OPERATOR ""Seasonal 6-Month Register*",Multiple Locations,28.72,14.54,Internal Revenue Service,"You must meet the following requirements by the closing date of this announcement:GS-04 LEVEL: You must have 1 year of general experience at a level of difficulty and responsibility equivalent to the GS-03 grade level in the Federal service. General experience for this position includes: Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. ORYou may substitute education for general experience as follows: Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-05 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-04 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive. ORYou may substitute education for specialized experience as follows: successfully completed at least 4 years of education above the high school level (120 semester hours or 180 quarter hours), have a Bachelors or higher degree, or have 2880 hours of formal classroom training in an accredited business, secretarial or technical school.ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-06 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.GS-07 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-06 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.- The experience may have been gained in either the public or privatesector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",Utah
4,"Ogden, Utah",United States,0332,"COMPUTER OPERATOR ""Seasonal 6-Month Register*",Multiple Locations,28.72,14.54,Internal Revenue Service,"You must meet the following requirements by the closing date of this announcement:GS-04 LEVEL: You must have 1 year of general experience at a level of difficulty and responsibility equivalent to the GS-03 grade level in the Federal service. General experience for this position includes: Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. ORYou may substitute education for general experience as follows: Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-05 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-04 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive. ORYou may substitute education for specialized experience as follows: successfully completed at least 4 years of education above the high school level (120 semester hours or 180 quarter hours), have a Bachelors or higher degree, or have 2880 hours of formal classroom training in an accredited business, secretarial or technical school.ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-06 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.GS-07 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-06 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.- The experience may have been gained in either the public or privatesector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",
5,"San Antonio, Texas",United States,2152,Public Notice for Individuals With Disabilities and Individuals with Targeted Disabilities,"FAA Location Negotiable Upon Request, United States",97825.0,26583.0,Federal Aviation Administration,"All positions, dependent upon grade/band levels being filled, may require some level of related/specialized experience or education. Please review each announcement for specific qualifications required.",
6,"Dover, Delaware",United States,0335,COMPUTER ASSISTANT,"Dover, Delaware",74762.0,57508.0,Air Mobility Command,"In order to qualify, you must meet the specialized experience requirements described in the Office of Personnel Management () Qualification Standards for General Schedule Positions, Qualification Standard for Group Coverage Qualifications Standards for Clerical and Administrative Support Positions, Computer Clerk and Assistant Series for GS-0335. For more information please click here. SPECIALIZED EXPERIENCE: Applicants must have at least one (1) year of specialized experience at the next lower grade GS-08, or equivalent in other pay systems. Examples of specialized experience includes working with LAN/WAN principles and practices sufficient to troubleshoot and maintain the stability of communication lines and equipment and sufficient to install, configure, and troubleshoot LAN and WAN components such as routers, hubs, switches, and servers. Working with network principles, concepts, equipment, and tools sufficient to assist in planning and maintaining network services; to install, test, and configure workstations and peripherals; and to instruct customers in accessing network services. Working configuration management concepts and life cycle management concepts sufficient to identify the need to upgrade or enhance network component capabilities in response to network problems and deficiencies. OR EDUCATION: Successfully completed at least two full years of graduate level education or a master's degree in a field directly related to the position. NOTE: You must submit a copy of your transcripts with your application. OR COMBINATION OF EXPERIENCE AND EDUCATION: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. NOTE: You must submit a copy of your college transcripts. FEDERAL TIME-IN-GRADE (TIG) REQUIREMENT FOR GENERAL SCHEDULE (GS) POSITIONS: Merit promotion applicants must meet applicable time-in&shy;-grade requirements to be considered eligible. One year at the GS-08 level is required to meet the time-in-grade requirements for the GS-09 level. TIG applies if you are in a current GS position or held a GS position within the previous 52 weeks. KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas: Knowledge of DoD and Air Force automated data processing and networking standards, policies, and techniques. Knowledge of computer hardware and software systems and their interfaces, higher level programming languages, and other job control languages. Knowledge of information processing sequences, controls, and procedures to provide user support. Knowledge of facility environment and infrastructure to support computer systems. Ability to use and maintain computer systems, equipment, and software; analyze computer network, software, and hardware problems; develop effective and economical solutions; and train users on new computer systems. Ability to communicate effectively, both orally and in writing. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience.",
7,"Kansas City, Missouri",United States,0356,Data Entry Clerk *Not To Exceed 120 Days*,"Kansas City, Missouri",19.05,11.97,Internal Revenue Service,"You must meet the following requirements by the closing date of this announcement: BASIC REQUIREMENTS: Applicants must be at least 18 years of age or older, or at least 16 years of age or older, and meet one of the following: (1) have graduated from high school or have a certificate equivalent to graduating from high school; (2) have completed a formal vocational training program; or (3) have a statement from school authorities agreeing with the decision to pursue employment rather than continuing your education.GS-2 LEVEL: A. High school diploma or equivalent. OR B. Three (3) months of full time general experience. This experience should be progressively responsible clerical, office or other work that indicates ability to acquire the competencies necessary to perform the duties of this position. This may be paid or non-paid experience.GS-GS-3 LEVEL: Six (6) months of general clerical related experience. The experience could have been progressively responsible clerical, office or other work that indicates ability to acquire to perform the duties of this position. This may be paid or non-paid experience. OR Completion of an intensive, specialized course of study of less than 1 year. Courses may have been obtained through a business or technical school, or military training program, and should include up to 40 hours per week of instruction for at least 3 months duration. The course must have been designed specifically as career preparation for the work of the position being filled. OR One (1) year of education above the high school level in any field of study obtained from an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.GS-4 LEVEL: One (1) year or twelve (12 months) of general experience equivalent to the next lower grade (GS -03) in the Federal government. General experience - Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. OR Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.In addition to meeting the education/experience requirements, Data Transcriber applicants must possess the ability to type or have skill in operating an alphanumeric data transcribing machine, 20 words per minute typing speed for GS-2 or 25 words per minute typing speed for GS-3 and GS-4&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.- The experience may have been gained in either the public or private sector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",
8,"Washington, District of Columbia",United States,0357,Document Analyst,"Washington, District of Columbia",74759.0,47016.0,U. S. Sentencing Commission,"MANDATORY QUALIFICATION REQUIREMENTS:
Applicants must have one year of specialized experience at the next lower grade level which is in or directly related to the line of work of this position, or experience that has equipped the applicant with the particular knowledge, skills, and abilities to successfully perform the duties of this position. Applicants must have excellent analytical and organizational skills. Applicants must have demonstrated work experience related to the mandatory requirements listed below and must address the qualification requirements in an attached cover letter. Knowledge of the types of sentencing documents used in federal criminal cases, the federal sentencing guidelines, and the federal criminal justice system. Ability to handle multiple assignments, focus on details, and produce precise work products in a timely manner to ensure deadlines are met. Knowledge and demonstrated data processing experience and knowledge of data quality assurance procedures. Ability to analyze federal sentencing documents, identify sentencing variables and interpret sentencing information with respect to the way the federal sentencing guidelines were applied in a particular case. Ability to interact successfully with staff at all levels and work effectively as a team member. PREFERRED QUALIFICATIONS:
Preference will be given to applicants with one or more of the following areas of experience: Demonstrated data processing experience. Knowledge of data quality assurance procedures.",
9,"Picatinny Arsenal, New Jersey",United States,0801,Senior Research Scientist (Warheads Technology),"Picatinny Arsenal, New Jersey",176900.0,168165.0,United States Army Futures Command,"Position requires substantial experience and significant scientific contributions related to the scientific disciplines and topic areas described in this position description. Incumbent demonstrates ability to think about issues creatively and with a practical view for applicability to inform policy, programs, and operational needs. Scientific achievements have demonstrated innovation and potential for maturation through applied and advanced technology research. Incumbent has peer-reviewed publications, invited presentations, and held positions with status in DoD/national/international scientific/professional organizations and societies. Incumbent demonstrates expertise as an independent principal investigator/researcher, leading complex programs of research, scientific leadership/mentoring of other scientist, and close collaboration with scientists of various disciplines within DoD, academia, and industry. In order to qualify, you must meet the requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. 1. Specialized Experience is experience closely related to, the field in which the candidate will work. Experience must have been sufficiently specialized to ensure adequate familiarity with the area of specialization, be both nationally and internationally recognized as an authority within the scientific and engineering community, or have direct application in the area for which the applicant is being considered. 2. Technical Qualification (TQ). (Mandatory Submission) A supplemental statement must be submitted separately addressing this TQ. TQ must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Technical Qualification automatically disqualifies an applicant from consideration: TQ write up should not exceed 2 pages. Applicants must reflect superior technical qualification demonstrated through leadership and management in the following: Proven pertinent experience in leading the innovative discoveries to develop all forms of lethal and non-lethal warheads with a demonstrated expertise in all fields relating to warhead technology (e.g., warhead mechanics, shock physics, fragmentation analysis, combustion theory, shape charge jet formation, etc). 3. Senior Professional Qualifications (SPQ) (Mandatory Submission)
A supplemental statement must be submitted separately addressing both Senior Professional Qualifications. Applicants must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Scientific Professional Technical Qualification automatically disqualifies an applicant from consideration. Limit your responses to 1 page per SPQ. SPQ 1. Ability to establish and maintain effective working relationships with key management, professional and scientific personnel; advise and consult on scientific and technological programs and problems; and, serve as an effective spokesperson for the organization both nationally and internationally.
and
SPQ 2. Stature in the profession as indicated by memberships and activity in professional and scientific societies, honors, awards, and other recognition and leadership in national and international scientific communities. Contributions and professional reputation as evidenced by citations, patents, and/or publications which advance knowledge in the field.",
