,Job title,Location,Max Salary,Min Salary,Qualification Summary
0,"COMPUTER OPERATOR ""Seasonal 6-Month Register*",Multiple Locations,28.72,14.54,"You must meet the following requirements by the closing date of this announcement:GS-04 LEVEL: You must have 1 year of general experience at a level of difficulty and responsibility equivalent to the GS-03 grade level in the Federal service. General experience for this position includes: Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. ORYou may substitute education for general experience as follows: Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-05 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-04 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive. ORYou may substitute education for specialized experience as follows: successfully completed at least 4 years of education above the high school level (120 semester hours or 180 quarter hours), have a Bachelors or higher degree, or have 2880 hours of formal classroom training in an accredited business, secretarial or technical school.ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.GS-06 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.GS-07 LEVEL: You must have 1 year of specialized experience at a level of difficulty and responsibility equivalent to the GS-06 grade level in the Federal service. Specialized experience for this position includes: operation of computer systems used in support of batch processing. media and data flow, and other work requiring comparable knowledge of computer processing techniques. This list is not inclusive.- The experience may have been gained in either the public or privatesector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume."
1,Public Notice for Individuals With Disabilities and Individuals with Targeted Disabilities,"FAA Location Negotiable Upon Request, United States",97825.0,26583.0,"All positions, dependent upon grade/band levels being filled, may require some level of related/specialized experience or education. Please review each announcement for specific qualifications required."
2,COMPUTER ASSISTANT,"Dover, Delaware",74762.0,57508.0,"In order to qualify, you must meet the specialized experience requirements described in the Office of Personnel Management () Qualification Standards for General Schedule Positions, Qualification Standard for Group Coverage Qualifications Standards for Clerical and Administrative Support Positions, Computer Clerk and Assistant Series for GS-0335. For more information please click here. SPECIALIZED EXPERIENCE: Applicants must have at least one (1) year of specialized experience at the next lower grade GS-08, or equivalent in other pay systems. Examples of specialized experience includes working with LAN/WAN principles and practices sufficient to troubleshoot and maintain the stability of communication lines and equipment and sufficient to install, configure, and troubleshoot LAN and WAN components such as routers, hubs, switches, and servers. Working with network principles, concepts, equipment, and tools sufficient to assist in planning and maintaining network services; to install, test, and configure workstations and peripherals; and to instruct customers in accessing network services. Working configuration management concepts and life cycle management concepts sufficient to identify the need to upgrade or enhance network component capabilities in response to network problems and deficiencies. OR EDUCATION: Successfully completed at least two full years of graduate level education or a master's degree in a field directly related to the position. NOTE: You must submit a copy of your transcripts with your application. OR COMBINATION OF EXPERIENCE AND EDUCATION: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. NOTE: You must submit a copy of your college transcripts. FEDERAL TIME-IN-GRADE (TIG) REQUIREMENT FOR GENERAL SCHEDULE (GS) POSITIONS: Merit promotion applicants must meet applicable time-in&shy;-grade requirements to be considered eligible. One year at the GS-08 level is required to meet the time-in-grade requirements for the GS-09 level. TIG applies if you are in a current GS position or held a GS position within the previous 52 weeks. KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas: Knowledge of DoD and Air Force automated data processing and networking standards, policies, and techniques. Knowledge of computer hardware and software systems and their interfaces, higher level programming languages, and other job control languages. Knowledge of information processing sequences, controls, and procedures to provide user support. Knowledge of facility environment and infrastructure to support computer systems. Ability to use and maintain computer systems, equipment, and software; analyze computer network, software, and hardware problems; develop effective and economical solutions; and train users on new computer systems. Ability to communicate effectively, both orally and in writing. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience."
3,Data Entry Clerk *Not To Exceed 120 Days*,"Kansas City, Missouri",19.05,11.97,"You must meet the following requirements by the closing date of this announcement: BASIC REQUIREMENTS: Applicants must be at least 18 years of age or older, or at least 16 years of age or older, and meet one of the following: (1) have graduated from high school or have a certificate equivalent to graduating from high school; (2) have completed a formal vocational training program; or (3) have a statement from school authorities agreeing with the decision to pursue employment rather than continuing your education.GS-2 LEVEL: A. High school diploma or equivalent. OR B. Three (3) months of full time general experience. This experience should be progressively responsible clerical, office or other work that indicates ability to acquire the competencies necessary to perform the duties of this position. This may be paid or non-paid experience.GS-GS-3 LEVEL: Six (6) months of general clerical related experience. The experience could have been progressively responsible clerical, office or other work that indicates ability to acquire to perform the duties of this position. This may be paid or non-paid experience. OR Completion of an intensive, specialized course of study of less than 1 year. Courses may have been obtained through a business or technical school, or military training program, and should include up to 40 hours per week of instruction for at least 3 months duration. The course must have been designed specifically as career preparation for the work of the position being filled. OR One (1) year of education above the high school level in any field of study obtained from an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.GS-4 LEVEL: One (1) year or twelve (12 months) of general experience equivalent to the next lower grade (GS -03) in the Federal government. General experience - Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. OR Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.In addition to meeting the education/experience requirements, Data Transcriber applicants must possess the ability to type or have skill in operating an alphanumeric data transcribing machine, 20 words per minute typing speed for GS-2 or 25 words per minute typing speed for GS-3 and GS-4&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;&shy;ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.- The experience may have been gained in either the public or private sector or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume."
4,Document Analyst,"Washington, District of Columbia",74759.0,47016.0,"MANDATORY QUALIFICATION REQUIREMENTS:
Applicants must have one year of specialized experience at the next lower grade level which is in or directly related to the line of work of this position, or experience that has equipped the applicant with the particular knowledge, skills, and abilities to successfully perform the duties of this position. Applicants must have excellent analytical and organizational skills. Applicants must have demonstrated work experience related to the mandatory requirements listed below and must address the qualification requirements in an attached cover letter. Knowledge of the types of sentencing documents used in federal criminal cases, the federal sentencing guidelines, and the federal criminal justice system. Ability to handle multiple assignments, focus on details, and produce precise work products in a timely manner to ensure deadlines are met. Knowledge and demonstrated data processing experience and knowledge of data quality assurance procedures. Ability to analyze federal sentencing documents, identify sentencing variables and interpret sentencing information with respect to the way the federal sentencing guidelines were applied in a particular case. Ability to interact successfully with staff at all levels and work effectively as a team member. PREFERRED QUALIFICATIONS:
Preference will be given to applicants with one or more of the following areas of experience: Demonstrated data processing experience. Knowledge of data quality assurance procedures."
5,Senior Research Scientist (Warheads Technology),"Picatinny Arsenal, New Jersey",176900.0,168165.0,"Position requires substantial experience and significant scientific contributions related to the scientific disciplines and topic areas described in this position description. Incumbent demonstrates ability to think about issues creatively and with a practical view for applicability to inform policy, programs, and operational needs. Scientific achievements have demonstrated innovation and potential for maturation through applied and advanced technology research. Incumbent has peer-reviewed publications, invited presentations, and held positions with status in DoD/national/international scientific/professional organizations and societies. Incumbent demonstrates expertise as an independent principal investigator/researcher, leading complex programs of research, scientific leadership/mentoring of other scientist, and close collaboration with scientists of various disciplines within DoD, academia, and industry. In order to qualify, you must meet the requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. 1. Specialized Experience is experience closely related to, the field in which the candidate will work. Experience must have been sufficiently specialized to ensure adequate familiarity with the area of specialization, be both nationally and internationally recognized as an authority within the scientific and engineering community, or have direct application in the area for which the applicant is being considered. 2. Technical Qualification (TQ). (Mandatory Submission) A supplemental statement must be submitted separately addressing this TQ. TQ must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Technical Qualification automatically disqualifies an applicant from consideration: TQ write up should not exceed 2 pages. Applicants must reflect superior technical qualification demonstrated through leadership and management in the following: Proven pertinent experience in leading the innovative discoveries to develop all forms of lethal and non-lethal warheads with a demonstrated expertise in all fields relating to warhead technology (e.g., warhead mechanics, shock physics, fragmentation analysis, combustion theory, shape charge jet formation, etc). 3. Senior Professional Qualifications (SPQ) (Mandatory Submission)
A supplemental statement must be submitted separately addressing both Senior Professional Qualifications. Applicants must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Scientific Professional Technical Qualification automatically disqualifies an applicant from consideration. Limit your responses to 1 page per SPQ. SPQ 1. Ability to establish and maintain effective working relationships with key management, professional and scientific personnel; advise and consult on scientific and technological programs and problems; and, serve as an effective spokesperson for the organization both nationally and internationally.
and
SPQ 2. Stature in the profession as indicated by memberships and activity in professional and scientific societies, honors, awards, and other recognition and leadership in national and international scientific communities. Contributions and professional reputation as evidenced by citations, patents, and/or publications which advance knowledge in the field."
6,Senior Research Scientist (Warheads Technology),"Picatinny Arsenal, New Jersey",176900.0,168165.0,"Position requires substantial experience and significant scientific contributions related to the scientific disciplines and topic areas described in this position description. Incumbent demonstrates ability to think about issues creatively and with a practical view for applicability to inform policy, programs, and operational needs. Scientific achievements have demonstrated innovation and potential for maturation through applied and advanced technology research. Incumbent has peer-reviewed publications, invited presentations, and held positions with status in DoD/national/international scientific/professional organizations and societies. Incumbent demonstrates expertise as an independent principal investigator/researcher, leading complex programs of research, scientific leadership/mentoring of other scientist, and close collaboration with scientists of various disciplines within DoD, academia, and industry. In order to qualify, you must meet the requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. 1. Specialized Experience is experience closely related to, the field in which the candidate will work. Experience must have been sufficiently specialized to ensure adequate familiarity with the area of specialization, be both nationally and internationally recognized as an authority within the scientific and engineering community, or have direct application in the area for which the applicant is being considered. 2. Technical Qualification (TQ). (Mandatory Submission) A supplemental statement must be submitted separately addressing this TQ. TQ must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Technical Qualification automatically disqualifies an applicant from consideration: TQ write up should not exceed 2 pages. Applicants must reflect superior technical qualification demonstrated through leadership and management in the following: Proven pertinent experience in leading the innovative discoveries to develop all forms of lethal and non-lethal warheads with a demonstrated expertise in all fields relating to warhead technology (e.g., warhead mechanics, shock physics, fragmentation analysis, combustion theory, shape charge jet formation, etc). 3. Senior Professional Qualifications (SPQ) (Mandatory Submission)
A supplemental statement must be submitted separately addressing both Senior Professional Qualifications. Applicants must provide specific examples that address relevant experience end accomplishments. Failure to meet or address the mandatory Scientific Professional Technical Qualification automatically disqualifies an applicant from consideration. Limit your responses to 1 page per SPQ. SPQ 1. Ability to establish and maintain effective working relationships with key management, professional and scientific personnel; advise and consult on scientific and technological programs and problems; and, serve as an effective spokesperson for the organization both nationally and internationally.
and
SPQ 2. Stature in the profession as indicated by memberships and activity in professional and scientific societies, honors, awards, and other recognition and leadership in national and international scientific communities. Contributions and professional reputation as evidenced by citations, patents, and/or publications which advance knowledge in the field."
7,"Interdisciplinary(SupervisoryGeneralEngr,GenPhysicalScienc,ElectronicsEngr)","Charlottesville, Virginia",136271.0,104821.0,"Who May Apply:
Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. See Proof of Eligibility for an extensive list of document requirements for all employment authorities. 10-Point Other Veterans? Rating30 Percent or More Disabled Veterans5-Point Veterans' PreferenceCurrent Army Defense Civilian Intelligence Personnel System (DCIPS) EmployeeCurrent Department of Army Civilian EmployeesCurrent DoD Defense Civilian Intelligence Personnel System (DCIPS) Employee (non-Army)Current Permanent Department of Defense (DOD) Civilian Employee (non-Army)Defense Civilian Intelligence Personnel System (DCIPS) Interchange AgreementDisabled Veteran w/ a Service-Connected Disability, More than 10%, Less than 30%Non-Department of Defense (DoD) TransferPrior Federal Service EmployeeUnited States Citizen Applying to a DCIPS Position Army DCIPS positions apply Veteran's Preference to preference eligible candidates as defined by Section 2108 of Title 5 U.S.C., in accordance with the procedures provided in DoD Instruction 1400.25, Volume 2005, DCIPS Employment and Placement. In order to qualify, you must meet the education and or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. One year of specialized experience equivalent to the GG/GS-13 grade level in the Federal service which includes experience in planning, directing, controlling and conducting research in all-source and other threat analysis. The Engineering and Physical Sciences families have specific educational requirements in addition to meeting the specialized experience requirements above, you must also meet the specific educational requirements for the series that you apply for in order to be considered for this position. The requirements for each series are described in the occupational questionnaire. Transcripts that support these requirements MUST be submitted at the time of application. Note: Education must have been completed in a U.S. college, university, or other educational institution that has been accredited by one of the accrediting agencies or associations recognized by the Secretary, U.S. Department of Education. You will be evaluated on the basis of your level of competency in the following areas:
Administration and Production ManagementIntelligence Production ProcessPartneringProgram ManagementTechnical Credibility"
8,General Engineer,"Fort Rucker, Alabama",99741.0,76721.0,"Who May Apply: US Citizens In order to qualify, you must meet the education and/or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Basic Requirement for General Engineer: A. Degree: Bachelor's degree (or higher degree) in engineering. To be acceptable, the program must: (1) lead to a bachelor's degree (or higher degree) in a school of engineering with at least one program accredited by the Accreditation Board for Engineering and Technology (ABET); OR (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics. OR B. Combination of Education and Experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following: 1. Professional registration or licensure - Current registration as an Engineer Intern (EI), Engineer in Training (EIT), or licensure as a Professional Engineer (PE) by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions. 2. Written Test - Evidence of having successfully passed the Fundamentals of Engineering (FE) examination, or any other written test required for professional registration, by an engineering licensure board in the various States, the District of Columbia, Guam, or Puerto Rico. 3. Specified academic courses - Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and that included the courses specified in A above. The courses must be fully acceptable toward meeting the requirements of an engineering program. 4. Related curriculum - Successful completion of a curriculum leading to a bachelor's degree in an appropriate scientific field, e.g., engineering technology, physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. In addition to meeting the basic requirement above, to qualify for this position you must also meet the qualification requirements listed below: Specialized Experience: One year of specialized experience which includes providing contract management and contract officer's representative responsibilities for a multi-trade construction, maintenance, repair and service contract. Broad professional knowledge of several fields of engineering related to the maintenance and repair of real property assets. Working knowledge of contracting functions and requirements to develop contract Performance Work Statements, Service Contract Agreement packages and contract modification packages. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-11). Some federal jobs allow you to substitute your education for the required experience in order to qualify. For this job, you must meet the qualification requirement using experience alone--no substitution of education for experience is permitted."
9,Engineering Technician,"Ukiah, California",68777.0,47899.0,"To qualify for this position, your resume must state sufficient experience and/or education, to perform the duties of the specific position for which you are applying. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; social). You will receive credit for all qualifying experience, including volunteer and part time experience. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. For positions requiring positive education requirements, or if you are using education to meet all or part of the qualification requirements, you MUST submit a copy of your transcripts or an itemized list of college courses which includes equivalent information from the transcript (course title, semester/quarter hours, and grade/degree earned) in your resume. MINIMUM QUALIFICATIONS:
Your resume must demonstrate at least one (1) year of specialized experience equivalent to at least the next lower grade level in the Federal service obtained in either the private or public sector performing the following type of work and/or tasks: For GS-8, experience including: demonstrates possessing knowledge of and ability in providing civil engineering design and construction monitoring support to engineers for constructions of community water, wastewater and solid waste facilities, and managing water or wastewater services for residential homes in accordance with an organization's regulations and guidelines. For GS-9, experience including: providing civil engineering design and construction monitoring support to engineers for construction of community water, wastewater and solid waste facilities, and managing water and wastewater services for residential homes in accordance with the agency's regulations and guidelines such as from the Environmental Protection Agency. OR Two full years of graduate education or a master's degree meets the requirements for GS-9 in courses directly related to the work of the position. You must meet all qualification requirements within 30 days of the closing date of the announcement. Federal employees in the competitive service are also subject to the Time-In-Grade Requirements: Merit Promotion (status) candidates must have completed one year of service at the next lower grade level. Time-In-Grade provisions do not apply under the Excepted Service Examining Plan (ESEP)."
