Rank,City ID,City,Country,Cost Of Living Index,Purchasing Power
1,3455,"New York, NY",United States,100.0,100.0
2,3483,"San Francisco, CA",United States,91.50725192718083,135.90387533668212
3,3389,"Anchorage, AK",United States,91.36159762415913,118.43603114482721
4,3427,"Honolulu, HI",United States,89.69972732566653,88.2944017498691
5,9925,"Brooklyn, NY",United States,88.82049296895713,92.94929224334851
6,3497,"Washington, DC",United States,87.7431530080256,130.24580323722802
7,3459,"Oakland, CA",United States,86.50542523211165,113.60182640848373
8,3487,"Seattle, WA",United States,85.76896421700873,133.4321704568379
9,3400,"Boston, MA",United States,82.87131995086,112.39445091286062
10,9978,"Bellevue, WA",United States,82.1835028003034,163.26638550674127
11,3405,"Chicago, IL",United States,80.18489007307836,113.52376134852815
12,10048,"Sarasota, FL",United States,79.26213244480127,81.80034523204
13,3465,"Philadelphia, PA",United States,78.83963035015343,100.2314514965052
14,3484,"San Jose, CA",United States,78.6409657981349,143.47757535735406
15,3469,"Portland, OR",United States,78.62663714742939,112.81549057270253
16,3454,"New Orleans, LA",United States,78.46024321170339,89.79259954147206
17,3475,"Sacramento, CA",United States,77.00336281904484,115.40198365657086
18,3450,"Minneapolis, MN",United States,76.70400381127624,127.17884509938982
19,3442,"Los Angeles, CA",United States,76.55051739028261,113.78476967178217
20,7700,"Albany, NY",United States,75.43528837158937,105.08492729004794
21,3435,"Jacksonville, FL",United States,74.5716773471639,120.89883817149827
22,3396,"Baltimore, MD",United States,74.2920533469364,125.24210602672055
23,3482,"San Diego, CA",United States,74.21632475872781,130.18984396628747
24,3448,"Miami, FL",United States,74.17628438956618,100.24822210193976
25,3402,"Buffalo, NY",United States,73.92021968338203,107.04548145407107
26,3391,"Atlanta, GA",United States,73.86602267414428,140.4956425034062
27,3471,"Reno, NV",United States,73.8473466656439,116.09903691592987
28,3467,"Pittsburgh, PA",United States,73.60600886718399,123.08365859761466
29,3412,"Denver, CO",United States,73.30470297817945,130.33001264159157
30,8029,"Nashville, TN",United States,73.19023347021579,122.6652957792753
31,3403,"Charlotte, NC",United States,72.4016296111078,144.2903355739867
32,3494,"Tucson, AZ",United States,72.12496619545028,105.2030621542422
33,7998,"Olympia, WA",United States,71.88465860547664,129.18615009076169
34,3408,"Colorado Springs, CO",United States,70.97420537936085,112.60889522929813
35,3491,"Tacoma, WA",United States,70.88040623432008,113.92408396906677
36,3476,"Saint Louis, MO",United States,70.78269026091236,126.33125675105144
37,3409,"Columbus, OH",United States,70.5028992633306,142.16602075912985
38,3470,"Raleigh, NC",United States,69.80177837729794,145.30249254578592
39,3437,"Kansas City, MO",United States,69.17366667907778,134.63284496195925
40,3411,"Dallas, TX",United States,68.02826559902051,155.2976485907696
41,3393,"Austin, TX",United States,67.79364060978585,145.75916697482558
42,3438,"Las Vegas, NV",United States,67.46036329708517,127.88359395982405
43,3466,"Phoenix, AZ",United States,67.41376494045257,127.25768294439119
44,3472,"Richmond, VA",United States,67.20235067946693,112.34632758905532
45,3492,"Tampa, FL",United States,67.0165202110932,126.28783630049753
46,3443,"Louisville, KY",United States,66.72371384299015,116.78313191953988
47,3431,"Indianapolis, IN",United States,66.34217263462753,110.02003248251117
48,3480,"San Antonio, TX",United States,65.7769191085776,116.4016600992914
49,3462,"Orlando, FL",United States,65.70115019695474,102.07828337531619
50,3428,"Houston, TX",United States,65.12705673394183,141.31031703617444
51,3479,"Salt Lake City, UT",United States,64.76221222983249,129.35267604851617
52,3445,"Madison, WI",United States,64.66935677470893,124.31320801717209
53,3495,"Tulsa, OK",United States,64.27696169697033,117.96748375539666
54,3414,"Detroit, MI",United States,63.85023710839013,78.57749660813171
55,3406,"Cincinnati, OH",United States,61.643566103415125,131.81137008299407
56,3399,"Boise, ID",United States,60.7050451274636,99.04666808672907
57,3440,"Little Rock, AR",United States,59.76140293151177,124.53542061850187
58,3416,"El Paso, TX",United States,52.378671923528564,127.66761367692443
